Alloy,bindEnergy,Bulk,Volume,Re,C11,C12,C13,C33,C44
NbMo,-7.285932566,208.7483333,17.00969561,2.806119387,365.3429,130.45105,130.45105,365.3429,69.06085
NbW,-8.115746681,220.7733333,17.18598531,2.815780362,343.3231,159.49845,159.49845,343.3231,80.5908
NbTa,-7.726263341,182.2374667,18.8649531,2.904641515,238.2178,154.2473,154.2473,238.2178,69.87255
NbV,-6.340935048,158.9124,16.21030406,2.761453178,225.4331,125.65205,125.65205,225.4331,10.94955
MoW,-7.770558461,265.4797333,16.06816511,2.753358267,423.1565,186.64135,186.64135,423.1565,114.52885
MoTa,-7.509801091,233.23555,17.47433267,2.831440871,356.98555,171.36055,171.36055,356.98555,66.8925
MoV,-6.175970467,211.9743333,14.70140469,2.672966861,338.9932,148.4649,148.4649,338.9932,51.17765
WTa,-8.344060194,237.9415667,17.61078896,2.838791968,372.0129,170.9059,170.9059,372.0129,70.7418
WV,-7.047775921,230.8184167,14.86990465,2.683140151,358.30725,167.074,167.074,358.30725,34.11035
TaV,-6.599417955,187.2563167,16.56837165,2.781637758,308.76645,126.50125,126.50125,308.76645,77.26715
